Day,Archibald the Wise,Archiwise the Bald,Averill,Azeru,Boltholopew,Burova,Cayn,Danny Nova,Dankon Ground,Gnarck,Gouberi,Lomerius Xardus,Moon Finder,Nettie Silver,Penta Vasi,Ricewined,Tehami Darke,Yungreen,Zancro,Zeledin Zura
916,N/A,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,6,6,6,6,N/A,N/A,10,N/A,N/A,4
917,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,5,3,11,N/A,N/A,6,N/A,N/A,4
918,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,6,5,10,12,N/A,N/A,6,N/A,N/A,4
919,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,6,6,10,10,N/A,N/A,10,N/A,N/A,4
920,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,6,4,N/A,12,N/A,N/A,6,N/A,N/A,4
921,N/A,7,4,6,11,N/A,N/A,N/A,N/A,N/A,6,5,9,10,N/A,N/A,8,N/A,6,4
922,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A,N/A,6,5,4,2,N/A,N/A,9,N/A,N/A,4
923,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,6,7,1,11,N/A,N/A,6,N/A,3,4
924,N/A,5,N/A,9,N/A,N/A,N/A,N/A,7,N/A,6,6,N/A,11,N/A,N/A,6,N/A,N/A,4
925,N/A,7,N/A,10,N/A,N/A,N/A,4,5,N/A,6,5,5,10,N/A,N/A,6,N/A,N/A,4
926,N/A,7,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,6,5,9,7,N/A,N/A,5,N/A,N/A,4
927,N/A,5,8,12,N/A,N/A,N/A,N/A,N/A,N/A,6,5,10,9,N/A,N/A,6,N/A,4,4
928,N/A,7,N/A,N/A,N/A,N/A,1,9,N/A,N/A,6,5,7,11,N/A,N/A,10,N/A,N/A,4
929,N/A,7,N/A,N/A,9,N/A,2,N/A,3,N/A,6,7,11,7,N/A,N/A,6,N/A,5,4
930,N/A,N/A,N/A,3,8,N/A,N/A,1,N/A,N/A,6,N/A,8,5,N/A,N/A,6,N/A,1,4
931,N/A,N/A,N/A,N/A,8,N/A,4,2,N/A,N/A,6,N/A,10,10,N/A,N/A,6,N/A,N/A,4
932,N/A,5,N/A,5,N/A,N/A,N/A,3,N/A,N/A,6,5,8,12,N/A,N/A,6,N/A,N/A,4
933,N/A,7,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,6,6,6,11,N/A,N/A,6,N/A,N/A,4
934,N/A,5,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,6,6,3,12,N/A,N/A,6,N/A,3,4
935,N/A,7,N/A,N/A,N/A,N/A,8,7,N/A,N/A,6,7,9,11,N/A,N/A,10,N/A,N/A,4
936,N/A,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,6,6,6,12,N/A,N/A,5,N/A,N/A,4
937,N/A,5,N/A,N/A,6,N/A,10,3,N/A,N/A,6,5,11,8,N/A,N/A,6,N/A,N/A,4
938,N/A,N/A,N/A,11,11,N/A,N/A,3,N/A,N/A,6,6,8,8,N/A,N/A,6,N/A,N/A,4
939,N/A,N/A,N/A,N/A,10,N/A,12,N/A,N/A,N/A,6,4,10,6,N/A,N/A,6,N/A,N/A,4
940,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,6,6,10,8,6,N/A,6,N/A,N/A,4
941,N/A,7,N/A,2,N/A,N/A,N/A,3,N/A,N/A,6,6,N/A,9,N/A,N/A,9,N/A,N/A,4
942,N/A,5,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,6,6,11,8,N/A,N/A,8,N/A,7,4
943,N/A,5,N/A,N/A,N/A,N/A,4,3,N/A,N/A,6,6,9,11,N/A,N/A,6,N/A,N/A,4
944,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,6,6,6,7,N/A,N/A,6,N/A,N/A,4
945,N/A,7,7,6,10,N/A,N/A,7,N/A,N/A,6,6,11,12,N/A,N/A,6,N/A,10,4
946,N/A,N/A,N/A,7,11,N/A,N/A,5,N/A,N/A,6,5,N/A,6,N/A,N/A,6,N/A,N/A,4
947,N/A,N/A,N/A,8,10,N/A,N/A,6,N/A,N/A,6,6,11,8,N/A,N/A,11,N/A,N/A,4
948,N/A,5,N/A,9,N/A,N/A,N/A,N/A,8,N/A,6,6,4,11,N/A,N/A,8,N/A,N/A,4
949,N/A,5,N/A,N/A,N/A,N/A,10,2,N/A,N/A,6,5,4,10,N/A,N/A,6,N/A,2,4
950,N/A,7,N/A,11,N/A,N/A,N/A,7,N/A,N/A,6,5,2,10,N/A,N/A,6,N/A,N/A,4
951,N/A,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,6,5,1,8,N/A,N/A,6,N/A,N/A,4
952,N/A,7,N/A,1,N/A,N/A,N/A,5,N/A,N/A,6,5,10,10,N/A,N/A,6,N/A,N/A,4
953,N/A,5,4,N/A,11,N/A,2,N/A,N/A,N/A,6,6,4,12,N/A,N/A,6,N/A,N/A,4
954,N/A,N/A,N/A,N/A,9,N/A,3,N/A,8,N/A,6,5,11,9,N/A,N/A,6,N/A,N/A,4
955,N/A,N/A,N/A,N/A,7,N/A,4,3,N/A,N/A,6,6,11,7,N/A,N/A,6,N/A,N/A,4
956,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,6,5,10,11,N/A,N/A,6,N/A,N/A,4
957,N/A,7,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,6,6,10,12,N/A,N/A,8,N/A,N/A,4
958,N/A,5,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,6,5,9,10,N/A,N/A,7,N/A,N/A,4
959,N/A,5,6,N/A,N/A,N/A,8,N/A,4,N/A,6,5,5,7,N/A,N/A,6,N/A,N/A,4
960,N/A,5,N/A,N/A,N/A,N/A,9,N/A,3,N/A,6,6,11,12,N/A,N/A,11,N/A,N/A,4
961,N/A,5,N/A,N/A,11,N/A,10,N/A,N/A,N/A,6,7,1,5,N/A,N/A,9,N/A,N/A,4
962,N/A,N/A,N/A,11,10,N/A,N/A,4,8,N/A,6,5,8,10,N/A,N/A,6,N/A,N/A,4
963,N/A,N/A,N/A,12,10,N/A,N/A,N/A,N/A,N/A,6,7,8,9,N/A,N/A,6,N/A,N/A,4
964,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,6,5,N/A,12,N/A,N/A,6,N/A,12,4
965,N/A,7,9,2,N/A,N/A,N/A,7,4,N/A,6,7,N/A,6,N/A,N/A,6,N/A,N/A,4
966,N/A,7,N/A,3,N/A,N/A,N/A,1,N/A,N/A,6,6,6,7,N/A,N/A,10,N/A,N/A,4
967,N/A,5,N/A,4,N/A,N/A,N/A,5,N/A,N/A,6,6,1,8,N/A,N/A,9,N/A,N/A,4
968,N/A,7,N/A,N/A,N/A,N/A,5,10,N/A,N/A,6,6,6,10,N/A,N/A,6,N/A,N/A,4
969,N/A,7,N/A,6,6,N/A,N/A,N/A,N/A,N/A,6,5,8,12,N/A,N/A,6,N/A,N/A,4
970,N/A,N/A,N/A,N/A,6,N/A,7,3,N/A,N/A,6,6,10,11,N/A,N/A,6,N/A,N/A,4
971,N/A,N/A,6,N/A,10,N/A,8,N/A,N/A,N/A,6,4,9,4,N/A,N/A,10,N/A,N/A,4
972,N/A,7,N/A,9,N/A,N/A,N/A,2,N/A,N/A,6,6,3,6,N/A,N/A,6,N/A,N/A,4
973,N/A,7,N/A,10,N/A,N/A,N/A,3,N/A,N/A,6,6,7,8,N/A,N/A,4,N/A,N/A,4
974,N/A,5,N/A,11,N/A,N/A,N/A,4,N/A,N/A,6,6,9,11,N/A,N/A,7,N/A,3,4
975,N/A,7,N/A,12,N/A,N/A,N/A,N/A,7,N/A,6,5,7,11,N/A,N/A,11,N/A,N/A,4
976,N/A,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,6,6,6,3,N/A,N/A,6,N/A,N/A,4
977,N/A,7,N/A,N/A,9,N/A,2,N/A,N/A,N/A,6,6,9,11,N/A,N/A,6,N/A,N/A,4
978,N/A,N/A,N/A,3,9,N/A,N/A,N/A,N/A,N/A,6,6,1,11,N/A,N/A,6,N/A,N/A,4
979,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A,N/A,6,N/A,5,11,N/A,N/A,6,N/A,N/A,4
980,N/A,5,5,N/A,N/A,N/A,5,4,N/A,N/A,6,7,11,12,N/A,N/A,6,N/A,N/A,4
981,N/A,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,6,4,10,4,N/A,N/A,6,N/A,7,4
982,N/A,5,N/A,7,N/A,N/A,N/A,6,N/A,N/A,6,6,11,7,N/A,N/A,6,N/A,N/A,4
983,N/A,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,6,5,N/A,12,N/A,N/A,6,N/A,N/A,4
984,N/A,5,N/A,9,N/A,N/A,N/A,N/A,1,N/A,6,7,4,10,N/A,N/A,6,N/A,N/A,4
985,N/A,5,N/A,N/A,8,N/A,10,5,N/A,N/A,6,6,7,11,N/A,N/A,4,N/A,N/A,4
986,N/A,N/A,N/A,11,6,N/A,N/A,N/A,N/A,N/A,6,7,11,11,N/A,N/A,6,N/A,N/A,4
987,N/A,N/A,9,12,6,N/A,N/A,N/A,N/A,N/A,6,6,9,11,N/A,N/A,6,N/A,N/A,4
988,N/A,7,N/A,1,N/A,N/A,N/A,6,N/A,N/A,6,6,1,6,N/A,N/A,6,N/A,N/A,4
989,N/A,5,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,6,6,N/A,12,N/A,N/A,6,N/A,N/A,4
990,N/A,5,N/A,N/A,N/A,N/A,3,6,N/A,N/A,6,5,9,8,N/A,N/A,6,N/A,6,4
991,N/A,5,N/A,4,N/A,N/A,N/A,5,N/A,N/A,6,5,11,12,N/A,N/A,9,N/A,N/A,4
992,N/A,7,N/A,5,N/A,N/A,N/A,4,N/A,N/A,6,5,3,9,N/A,N/A,5,N/A,11,4
993,N/A,7,N/A,6,11,N/A,N/A,N/A,5,N/A,6,6,4,12,N/A,N/A,6,N/A,N/A,4
994,N/A,N/A,N/A,N/A,6,N/A,7,N/A,N/A,N/A,6,5,3,8,N/A,6,6,N/A,N/A,4
995,N/A,N/A,N/A,8,8,N/A,N/A,N/A,N/A,N/A,6,5,6,10,N/A,N/A,5,N/A,N/A,4
996,N/A,5,4,9,N/A,N/A,N/A,N/A,N/A,N/A,6,6,1,8,N/A,N/A,6,N/A,N/A,4
997,N/A,5,N/A,N/A,N/A,N/A,10,9,N/A,N/A,6,6,2,7,N/A,6,6,N/A,N/A,4
998,N/A,7,N/A,11,N/A,N/A,N/A,3,N/A,N/A,6,6,8,11,N/A,9,6,N/A,N/A,4
999,N/A,5,N/A,12,N/A,N/A,N/A,1,N/A,N/A,6,6,10,4,N/A,6,3,N/A,N/A,4
1000,N/A,5,N/A,1,N/A,N/A,N/A,7,N/A,N/A,6,8,N/A,8,N/A,N/A,8,N/A,N/A,4
1001,N/A,7,N/A,N/A,10,N/A,2,N/A,N/A,N/A,6,6,6,11,N/A,N/A,6,N/A,N/A,4
1002,N/A,N/A,N/A,3,11,N/A,N/A,N/A,N/A,N/A,6,6,N/A,7,N/A,N/A,6,N/A,N/A,4
1003,N/A,N/A,N/A,4,8,N/A,N/A,N/A,N/A,N/A,6,6,10,7,N/A,N/A,10,N/A,N/A,4
1004,N/A,5,4,5,N/A,N/A,N/A,1,4,N/A,6,6,9,9,N/A,N/A,6,N/A,7,4
1005,N/A,5,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,6,7,N/A,8,N/A,6,6,N/A,5,4
1006,N/A,7,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,6,6,N/A,7,N/A,6,8,N/A,N/A,4
1007,N/A,5,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,6,6,4,11,N/A,8,8,N/A,N/A,4
1008,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,6,7,11,11,N/A,N/A,6,N/A,3,4
1009,N/A,5,N/A,N/A,5,N/A,10,N/A,N/A,N/A,6,6,5,7,N/A,N/A,6,N/A,N/A,4
1010,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,N/A,6,6,1,7,N/A,N/A,6,N/A,N/A,4
1011,N/A,N/A,10,N/A,6,N/A,12,N/A,N/A,N/A,6,5,N/A,10,N/A,N/A,10,N/A,4,4
1012,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,6,6,N/A,7,N/A,N/A,6,N/A,N/A,4
1013,N/A,7,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,6,6,11,7,N/A,N/A,6,N/A,10,4
1014,N/A,7,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,6,5,2,5,N/A,N/A,6,N/A,9,4
1015,N/A,7,N/A,4,N/A,N/A,N/A,6,N/A,N/A,6,5,9,12,N/A,6,6,N/A,N/A,4
1016,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,6,6,2,9,N/A,N/A,6,N/A,N/A,4
1017,N/A,5,11,N/A,6,N/A,6,N/A,N/A,N/A,N/A,7,N/A,2,N/A,N/A,10,N/A,1,4
1018,N/A,N/A,N/A,7,9,N/A,N/A,5,N/A,N/A,N/A,5,9,11,N/A,N/A,6,N/A,N/A,4
1019,N/A,N/A,N/A,8,7,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,6,N/A,N/A,4
1020,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,6,N/A,7,N/A,N/A,11,N/A,N/A,4
1021,N/A,7,N/A,10,N/A,N/A,N/A,5,N/A,N/A,N/A,6,6,7,N/A,N/A,6,N/A,N/A,4
1022,N/A,7,N/A,N/A,N/A,N/A,11,3,N/A,N/A,N/A,6,8,11,N/A,6,6,N/A,11,4
1023,N/A,5,N/A,12,N/A,N/A,N/A,5,N/A,N/A,N/A,6,3,6,N/A,6,6,N/A,N/A,4
1024,N/A,5,11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,7,N/A,3,6,N/A,N/A,4
1025,N/A,7,N/A,2,11,N/A,N/A,N/A,N/A,N/A,N/A,6,9,11,N/A,6,6,N/A,N/A,4
1026,N/A,N/A,N/A,3,8,N/A,N/A,3,N/A,N/A,N/A,6,3,10,N/A,7,6,N/A,1,4
1027,N/A,N/A,N/A,4,11,N/A,N/A,N/A,N/A,N/A,N/A,6,6,10,N/A,N/A,5,N/A,N/A,4
1028,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,5,N/A,9,N/A,N/A,6,N/A,N/A,4
1029,N/A,5,N/A,6,N/A,N/A,N/A,N/A,5,N/A,N/A,6,10,8,N/A,N/A,7,N/A,N/A,4
1030,N/A,5,6,7,N/A,N/A,N/A,6,N/A,N/A,N/A,6,4,12,N/A,N/A,6,N/A,7,4
1031,N/A,7,N/A,8,N/A,N/A,N/A,9,N/A,N/A,N/A,7,7,9,N/A,N/A,6,N/A,N/A,4
1032,N/A,5,N/A,9,N/A,N/A,N/A,1,5,N/A,N/A,5,9,4,N/A,N/A,10,N/A,N/A,4
1033,N/A,5,N/A,N/A,9,N/A,10,N/A,N/A,N/A,N/A,4,9,11,N/A,N/A,6,N/A,N/A,4
1034,N/A,N/A,N/A,N/A,9,N/A,11,N/A,N/A,N/A,N/A,5,4,12,N/A,N/A,9,N/A,N/A,4
1035,N/A,N/A,N/A,N/A,8,N/A,12,N/A,N/A,N/A,N/A,6,11,5,N/A,N/A,6,N/A,N/A,4
1036,N/A,7,N/A,N/A,N/A,N/A,1,7,N/A,N/A,N/A,6,2,7,N/A,N/A,11,N/A,N/A,4
1037,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,5,N/A,N/A,6,N/A,1,4
1038,N/A,5,N/A,3,N/A,N/A,N/A,2,N/A,N/A,N/A,5,11,10,N/A,N/A,6,N/A,N/A,4
1039,N/A,7,N/A,N/A,N/A,N/A,4,7,N/A,N/A,N/A,5,9,10,N/A,N/A,6,N/A,N/A,4
1040,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,8,N/A,6,6,N/A,11,4
1041,N/A,7,N/A,N/A,9,N/A,6,8,N/A,N/A,N/A,5,N/A,11,N/A,6,6,N/A,N/A,4
1042,N/A,N/A,2,7,10,N/A,N/A,1,N/A,N/A,N/A,6,10,10,N/A,6,6,N/A,N/A,4
1043,N/A,N/A,N/A,N/A,5,N/A,8,N/A,N/A,N/A,N/A,6,4,11,N/A,11,6,N/A,N/A,4
1044,N/A,5,N/A,9,N/A,N/A,N/A,7,N/A,N/A,N/A,5,5,12,N/A,5,11,N/A,N/A,4
1045,N/A,5,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,5,7,8,N/A,N/A,6,N/A,N/A,4
1046,N/A,7,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,10,10,N/A,N/A,6,N/A,N/A,4
1047,N/A,7,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,5,N/A,11,N/A,N/A,6,N/A,5,4
1048,N/A,5,N/A,1,N/A,N/A,N/A,9,N/A,N/A,N/A,7,10,8,N/A,6,6,N/A,N/A,4
1049,N/A,5,N/A,N/A,11,N/A,2,1,N/A,N/A,N/A,6,5,10,N/A,10,6,N/A,N/A,4
1050,N/A,N/A,N/A,3,10,N/A,N/A,N/A,N/A,N/A,N/A,6,3,10,N/A,10,3,N/A,N/A,4
1051,N/A,N/A,N/A,4,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,7,6,N/A,N/A,4
1052,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,9,8,N/A,7,6,N/A,N/A,4
1053,N/A,7,6,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,5,1,5,N/A,7,6,N/A,N/A,4
1054,N/A,7,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,6,7,4,N/A,6,8,N/A,12,4
1055,N/A,7,N/A,N/A,N/A,N/A,8,5,N/A,N/A,N/A,6,9,11,N/A,N/A,11,N/A,N/A,4
1056,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,10,N/A,N/A,8,N/A,N/A,4
1057,N/A,7,N/A,N/A,7,N/A,10,N/A,N/A,N/A,N/A,5,8,4,N/A,N/A,11,N/A,N/A,4
1058,N/A,N/A,N/A,N/A,8,N/A,11,N/A,1,N/A,N/A,6,2,11,N/A,6,8,N/A,N/A,4
1059,N/A,N/A,N/A,12,5,N/A,N/A,1,N/A,N/A,N/A,N/A,11,6,N/A,9,6,N/A,N/A,4
1060,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,6,10,11,N/A,8,6,N/A,N/A,4
1061,N/A,5,7,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,8,N/A,9,6,N/A,N/A,4
1062,N/A,7,N/A,N/A,N/A,N/A,3,4,N/A,N/A,N/A,6,N/A,6,N/A,N/A,6,N/A,N/A,4
1063,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,2,N/A,N/A,9,N/A,7,4
1064,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,5,5,N/A,N/A,11,N/A,N/A,4
1065,N/A,5,N/A,6,4,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,6,N/A,N/A,6,N/A,N/A,4
1066,N/A,N/A,N/A,7,10,N/A,N/A,1,5,N/A,N/A,5,4,8,N/A,N/A,6,N/A,N/A,4
1067,N/A,N/A,N/A,8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8,N/A,6,6,N/A,N/A,4
1068,N/A,5,N/A,N/A,N/A,N/A,9,4,N/A,N/A,N/A,5,2,4,N/A,8,6,N/A,N/A,4
1069,N/A,5,5,10,N/A,N/A,N/A,4,N/A,N/A,N/A,6,9,7,N/A,3,6,N/A,7,4
1070,N/A,5,N/A,N/A,N/A,N/A,11,1,N/A,N/A,N/A,6,5,9,N/A,6,9,N/A,N/A,4
1071,N/A,7,N/A,12,N/A,N/A,N/A,4,N/A,N/A,N/A,6,6,7,N/A,3,6,N/A,N/A,4
1072,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,6,11,8,N/A,N/A,6,N/A,N/A,4
1073,N/A,7,N/A,2,11,N/A,N/A,N/A,N/A,N/A,N/A,8,11,12,N/A,N/A,6,N/A,N/A,4
1074,N/A,N/A,N/A,N/A,7,N/A,3,9,N/A,N/A,N/A,4,6,4,N/A,6,6,N/A,N/A,4
1075,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,7,7,6,N/A,N/A,8,N/A,1,4
1076,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,8,N/A,N/A,9,N/A,N/A,4
1077,N/A,5,N/A,6,N/A,N/A,N/A,3,N/A,N/A,N/A,6,N/A,10,N/A,N/A,6,N/A,N/A,4
1078,N/A,5,N/A,N/A,N/A,N/A,7,2,10,N/A,N/A,6,10,12,N/A,N/A,6,N/A,11,4
1079,N/A,5,5,8,N/A,N/A,N/A,5,N/A,N/A,N/A,5,9,7,N/A,N/A,6,N/A,N/A,4
1080,N/A,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,11,11,N/A,N/A,6,N/A,N/A,4
1081,N/A,5,N/A,10,9,N/A,N/A,5,N/A,N/A,N/A,6,10,9,N/A,N/A,6,N/A,N/A,4
1082,N/A,N/A,N/A,11,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,N/A,N/A,6,N/A,N/A,4
1083,N/A,N/A,N/A,N/A,7,N/A,12,N/A,N/A,N/A,N/A,7,10,11,N/A,N/A,6,N/A,N/A,4
1084,N/A,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,8,10,N/A,N/A,6,N/A,N/A,4
1085,N/A,5,N/A,2,N/A,N/A,N/A,N/A,6,N/A,N/A,6,9,5,N/A,N/A,9,N/A,N/A,4
1086,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,11,6,N/A,6,6,N/A,5,4
1087,N/A,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,11,N/A,6,6,N/A,N/A,4
1088,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,5,3,10,N/A,11,6,N/A,N/A,4
1089,N/A,7,N/A,6,8,N/A,N/A,N/A,N/A,N/A,N/A,6,1,11,N/A,N/A,6,N/A,N/A,4
1090,N/A,N/A,N/A,7,10,N/A,N/A,N/A,N/A,N/A,N/A,6,8,11,N/A,N/A,6,N/A,6,4
1091,N/A,N/A,N/A,8,8,N/A,N/A,5,N/A,N/A,N/A,6,4,9,N/A,6,6,N/A,4,4
1092,N/A,5,N/A,9,N/A,N/A,N/A,4,N/A,N/A,N/A,6,11,7,N/A,N/A,6,N/A,N/A,4
1093,N/A,5,N/A,10,N/A,N/A,N/A,3,N/A,N/A,N/A,6,5,3,N/A,6,10,N/A,N/A,4
1094,N/A,5,N/A,N/A,N/A,N/A,11,6,N/A,N/A,N/A,6,N/A,11,N/A,6,6,N/A,N/A,4
1095,N/A,7,10,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,7,9,2,N/A,6,6,N/A,N/A,4
1096,N/A,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,6,N/A,3,6,N/A,N/A,4
1097,N/A,5,N/A,N/A,7,N/A,2,N/A,4,N/A,N/A,7,11,8,N/A,11,11,N/A,N/A,4
1098,N/A,N/A,N/A,3,11,N/A,N/A,N/A,N/A,N/A,N/A,5,9,10,N/A,10,6,N/A,N/A,4
1099,N/A,N/A,N/A,4,9,N/A,N/A,N/A,N/A,N/A,N/A,6,7,11,N/A,11,7,N/A,N/A,4
1100,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,3,10,N/A,N/A,6,N/A,N/A,4
1101,N/A,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,6,N/A,N/A,4
1102,N/A,7,3,N/A,N/A,N/A,7,5,N/A,N/A,N/A,6,7,7,N/A,6,6,N/A,N/A,4
1103,N/A,5,N/A,N/A,N/A,N/A,8,3,10,N/A,N/A,5,9,6,N/A,3,6,N/A,N/A,4
1104,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,6,5,9,N/A,N/A,11,N/A,N/A,4
1105,N/A,7,N/A,N/A,7,N/A,10,3,12,N/A,N/A,6,8,9,N/A,N/A,6,N/A,N/A,4
1106,N/A,N/A,N/A,11,8,N/A,N/A,N/A,N/A,N/A,N/A,5,5,9,N/A,N/A,9,N/A,3,4
1107,N/A,N/A,N/A,N/A,10,N/A,12,9,N/A,N/A,N/A,6,10,10,N/A,N/A,8,N/A,N/A,4
1108,N/A,7,N/A,1,N/A,N/A,N/A,4,N/A,N/A,N/A,6,11,9,N/A,N/A,6,N/A,N/A,4
1109,N/A,5,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,5,1,10,N/A,N/A,10,N/A,9,4
1110,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,10,7,N/A,N/A,6,N/A,3,4
1111,N/A,7,N/A,4,N/A,N/A,N/A,1,N/A,N/A,N/A,6,N/A,4,N/A,N/A,6,N/A,N/A,4
1112,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,9,12,N/A,6,6,N/A,N/A,4
1113,N/A,5,N/A,N/A,7,N/A,6,5,1,9,N/A,6,4,10,N/A,N/A,6,N/A,N/A,4
1114,N/A,N/A,N/A,7,5,N/A,N/A,3,N/A,9,N/A,6,8,9,N/A,6,6,N/A,N/A,4
1115,N/A,N/A,N/A,N/A,11,N/A,8,N/A,N/A,10,N/A,6,10,9,N/A,6,6,N/A,N/A,4
1116,N/A,7,N/A,9,N/A,N/A,N/A,N/A,N/A,10,N/A,6,11,11,N/A,N/A,6,N/A,N/A,4
1117,N/A,5,N/A,10,N/A,N/A,N/A,N/A,N/A,10,N/A,5,3,5,N/A,N/A,9,N/A,N/A,4
1118,3,5,6,11,N/A,N/A,N/A,N/A,N/A,10,N/A,6,N/A,12,N/A,N/A,6,N/A,N/A,4
1119,3,7,N/A,12,N/A,N/A,N/A,N/A,N/A,11,N/A,6,2,7,N/A,N/A,6,N/A,N/A,4
1120,3,7,N/A,1,N/A,N/A,N/A,N/A,N/A,10,N/A,6,10,7,N/A,10,7,N/A,N/A,4
1121,3,5,N/A,2,7,N/A,N/A,N/A,5,10,N/A,6,N/A,8,N/A,10,6,N/A,N/A,4
1122,3,N/A,N/A,3,6,N/A,N/A,N/A,N/A,11,N/A,6,11,11,N/A,11,6,N/A,N/A,4
1123,5,N/A,N/A,N/A,11,N/A,4,3,N/A,10,N/A,5,10,5,N/A,10,6,N/A,N/A,4
1124,5,5,N/A,N/A,N/A,N/A,5,N/A,N/A,11,N/A,6,11,5,N/A,11,10,N/A,N/A,4
1125,3,7,N/A,N/A,N/A,N/A,6,N/A,N/A,11,N/A,6,N/A,12,N/A,11,6,N/A,N/A,4
1126,3,5,N/A,7,N/A,N/A,N/A,N/A,9,11,N/A,6,11,11,N/A,11,6,N/A,N/A,4
